LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
0.15517241379310345,0.11363636363636365,0.0,0.0,0.11363636363636362,0.09090909090909093,0.16,0.11068702290076336,0.13949031389205427,0.3516279069767442,0.029616305562707737,0.06439393939393939,0.08589511754068715,0.025,0.029616550953634982,0.06427346498594487,0.08411214953271028,0.08702064896755163,0.16666666666666666,0.5675675675675675,0.13937282229965156,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011450381679389313,0.08665699782451051,0.055813953488372085,0.00046357257654019806,0.007575757575757577,0.012658227848101266,0.165,0.00046329547167469124,0.006338065519862807,0.014018691588785043,0.011799410029498523,0.05,0.16216216216216214,0.020905923344947737,0
0.3103448275862069,0.3409090909090909,0.0,0.6136363636363636,0.3409090909090909,0.2727272727272728,0.44,0.5229007633587786,0.4504299181601574,0.6251162790697674,0.30227265709043605,0.3674242424242424,0.3951175406871609,0.015,0.3022725862084253,0.3689943703733637,0.4205607476635514,0.3790560471976401,0.625,0.7567567567567568,0.6376306620209059,1
0.017241379310344827,0.045454545454545456,0.0,0.022727272727272728,0.04545454545454545,0.022727272727272728,0.0,0.06870229007633588,0.1156635242929659,0.2638139534883721,0.013825774235013652,0.04166666666666666,0.06329113924050632,0.035,0.013825712233660522,0.03998701826787324,0.06074766355140186,0.06489675516224189,0.09166666666666666,0.32432432432432434,0.07665505226480836,1
0.08620689655172414,0.18181818181818185,0.0,0.1590909090909091,0.18181818181818185,0.1590909090909091,0.0,0.3129770992366412,0.36113125453226974,0.4146976744186046,0.10666972164186278,0.19696969696969696,0.2477396021699819,0.02,0.10666990308479417,0.19627166673822613,0.25,0.2463126843657817,0.3,0.40540540540540543,0.3310104529616725,1
0.12068965517241377,0.09090909090909093,0.0,0.022727272727272728,0.09090909090909093,0.06818181818181818,0.07999999999999999,0.08015267175572519,0.17952967989226146,0.18846511627906976,0.010939660104042593,0.045454545454545456,0.06600361663652803,0.05,0.010939536615859335,0.04431720887708017,0.0630841121495327,0.06784660766961652,0.13333333333333333,0.32432432432432434,0.10452961672473868,0
0.03448275862068965,0.06818181818181818,0.0,0.022727272727272728,0.06818181818181818,0.06818181818181818,0.07999999999999999,0.1068702290076336,0.22972133015642804,0.18455813953488373,0.013439694663398187,0.05681818181818181,0.07956600361663653,0.05,0.013439447946869541,0.055563834005571536,0.06775700934579439,0.08702064896755163,0.15833333333333333,0.35135135135135137,0.10801393728222997,0
0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.019083969465648856,0.09033461100176113,0.08688372093023257,0.0011696610052028072,0.011363636363636364,0.01989150090415913,0.105,0.0011698764840972163,0.01028057210543995,0.018691588785046728,0.02064896755162242,0.05,0.1891891891891892,0.027874564459930317,0
0.017241379310344827,0.13636363636363638,0.0,0.045454545454545456,0.13636363636363635,0.13636363636363635,0.0,0.16030534351145034,0.2329327670154356,0.3315348837209302,0.04396008528356112,0.10227272727272728,0.14014466546112114,0.03,0.043959868415219136,0.10119436986823796,0.1308411214953271,0.14601769911504425,0.18333333333333326,0.3783783783783784,0.1637630662020906,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076335877862595426,0.032114368590075625,0.04651162790697674,0.00011936447361667981,0.0037878787878787884,0.0054249547920434,0.2,0.00011914895503595527,0.001958625148696397,0.002336448598130841,0.007374631268436578,0.008333333333333333,0.13513513513513514,0.010452961672473868,1
