HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_CONTENT,LOC_BLANK,HALSTEAD_DIFFICULTY,LOC_TOTAL,LOC_EXECUTABLE,label
0.00010109562456725667,0.00010109723336266384,0.003470179513200141,0.04396433711256977,0.0022371364653243847,0.026781444285031087,0.003777971519907004,0.003895184135977337,0
0.001962303322146149,0.0019623033227775255,0.027526041808402152,0.14249359401874406,0.011185682326621923,0.0655428024868484,0.02818947980238303,0.030099150141643063,0
1.4577965703361407e-05,1.4577322202900146e-05,0.001978029535737629,0.09905577591351047,0.0044742729306487695,0.0067670970827355325,0.003777971519907004,0.003541076487252125,1
0.0015622223340627027,0.0015622232998230793,0.035388310291987884,0.295851030222191,0.03579418344519016,0.04057867049258728,0.020052310374891014,0.01841359773371105,1
2.741364120888354e-05,2.7411388949672768e-05,0.0013662270165857116,0.025132507283512937,0.0,0.018436154949784792,0.0031967451322290033,0.0031869688385269125,0
0.0011331739615819388,0.0011331739619465403,0.013504928312973726,0.05940889466109728,0.017897091722595078,0.07711621233859398,0.011915140947399013,0.012039660056657223,0
1.8615638776802802e-05,1.8614030019913017e-05,0.0012369642522278962,0.030327494822563094,0.0022371364653243847,0.013845050215208037,0.002034292356873002,0.0017705382436260626,0
0.0042237396922407714,0.004223740015352346,0.03028063750168845,0.08011864228298643,0.026845637583892617,0.12824007651841227,0.03777971519907004,0.03895184135977337,0
0.001950878853437991,0.0019508766017976601,0.021428797616320404,0.0868756362104672,0.026845637583892617,0.08369201339072213,0.022377215925603024,0.019121813031161474,0
0.00022099768718875264,0.00022099961777531445,0.005576605938319024,0.05193232475692373,0.006711409395973154,0.036441893830703016,0.015983725661145018,0.0113314447592068,0
0.0009994568086142516,0.0009994587394512849,0.013265328337317184,0.06497244550528275,0.017897091722595078,0.06927307508369203,0.015402499273467016,0.015226628895184138,0
0.002054202936345088,0.002054203580511185,0.022828670060566717,0.09363263013794798,0.049217002237136466,0.0827116212338594,0.03254867770996804,0.03151558073654391,0
1.5966006315268826e-05,1.596729333070945e-05,0.0014348785325843598,0.0475973182631893,0.0044742729306487695,0.010234337637494022,0.004649811101424005,0.003895184135977337,0
