HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_CONTENT,HALSTEAD_VOLUME,HALSTEAD_DIFFICULTY,HALSTEAD_LENGTH,Defective
0.029616305562707737,0.029616550953634982,0.13949031389205427,0.06427346498594487,0.3516279069767442,0.08589511754068715,1
0.00046357257654019806,0.00046329547167469124,0.08665699782451051,0.006338065519862807,0.055813953488372085,0.012658227848101266,0
0.30227265709043605,0.3022725862084253,0.4504299181601574,0.3689943703733637,0.6251162790697674,0.3951175406871609,1
0.013825774235013652,0.013825712233660522,0.1156635242929659,0.03998701826787324,0.2638139534883721,0.06329113924050632,1
0.10666972164186278,0.10666990308479417,0.36113125453226974,0.19627166673822613,0.4146976744186046,0.2477396021699819,1
0.010939660104042593,0.010939536615859335,0.17952967989226146,0.04431720887708017,0.18846511627906976,0.06600361663652803,0
0.013439694663398187,0.013439447946869541,0.22972133015642804,0.055563834005571536,0.18455813953488373,0.07956600361663653,0
0.0011696610052028072,0.0011698764840972163,0.09033461100176113,0.01028057210543995,0.08688372093023257,0.019891500904159132,0
0.04396008528356112,0.043959868415219136,0.2329327670154356,0.10119436986823796,0.3315348837209302,0.14014466546112114,1
0.00011936447361667981,0.00011914895503595527,0.032114368590075625,0.001958625148696397,0.04651162790697674,0.0054249547920434,1
0.0005818902634395791,0.0005818902455244328,0.019993784315756758,0.003409598904887344,0.13023255813953488,0.0081374321880651,0
0.00018472706775859657,0.00018454233500917724,0.04972547394592354,0.003030754582122084,0.04651162790697674,0.007233273056057866,0
0.2514641852238604,0.2514641466939767,0.3391691702061535,0.2920371974612379,0.6571162790697674,0.3471971066907776,0
0.006185093258382583,0.006185216219331613,0.2462964881384025,0.03902980494568635,0.12093023255813952,0.05877034358047016,1
0.0005978383669560714,0.0005979614999246314,0.11177872164094063,0.008174197670865104,0.055813953488372085,0.015370705244122963,0
0.000263513162157638,0.0002632360634515291,0.049259297627680505,0.0036028095094976275,0.055813953488372085,0.0081374321880651,0
1.4624226197555567e-05,1.4408710841557385e-05,0.02460375012949342,0.000599836844378329,0.018604651162790697,0.0027124773960217,0
0.00551511897146678,0.005515211165199194,0.1855381746607272,0.03198961461429859,0.13153488372093022,0.05063291139240506,0
0.00020781795122842112,0.0002078179448301545,0.05594115818916399,0.003409598904887344,0.04651162790697674,0.0081374321880651,0
0.1180805281322237,0.11808049370893516,0.2143893090231016,0.15910198741731724,0.5663255813953488,0.1952983725135624,1
1.2315137850573104e-05,1.21919860967024e-05,0.08287578990987257,0.001010251527374028,0.009302325581395349,0.003616636528028933,0
0.02604205231649128,0.02604208230255633,0.20247591422355746,0.07261182853000825,0.2736744186046512,0.10397830018083183,0
0.01793142567948234,0.017931640642318163,0.6210504506371076,0.10552582329185407,0.12967441860465115,0.13924050632911392,0
0.002770906016378949,0.0027709059310687275,0.06712938982699679,0.013638395619549376,0.1549767441860465,0.024412296564195298,0
0.02006554670545278,0.02006579239042729,0.11680306640422665,0.048412516006172635,0.31627906976744186,0.06871609403254972,1
0.002461611329261805,0.0024616728291614576,0.11504195586864187,0.016828264817232867,0.11162790697674416,0.03164556962025317,0
0.0005075068308221176,0.0005076299665717908,0.05335128975448048,0.005204058180385461,0.07441860465116279,0.011754068716094029,0
0.0057190268664276435,0.005719149841725854,0.30679581477260953,0.04188881676815485,0.1041860465116279,0.062386980108499086,1
0.0022698030572391287,0.0022699261387315013,0.1411996270589454,0.01790418269388621,0.09674418604651162,0.03074141048824593,0
0.0010529442862240003,0.0010529442538061164,0.08748575572360924,0.009597389510053265,0.08372093023255814,0.01717902350813743,0
0.012547462926124166,0.012547216237065407,0.15420076660105664,0.04398761431627439,0.21767441860465114,0.07414104882459313,0
0.019511796532001763,0.01951161120421355,0.18439863254946648,0.0599836844378329,0.2481860465116279,0.08589511754068715,0
0.002814655543593109,0.002814686244779613,0.05847922925515382,0.012827668768831721,0.16744186046511628,0.023508137432188058,0
0.0001662543609827369,0.00016625435586412363,0.06992644773645497,0.003409598904887344,0.0372093023255814,0.0081374321880651,0
0.0006443280123419849,0.0006445127195665861,0.08846990572878896,0.007550367352711641,0.06511627906976744,0.0162748643761302,1
0.14848854311950013,0.1484884153964834,0.43131668911219306,0.25306800760719395,0.4478139534883721,0.3019891500904159,0
0.0056520325165205255,0.00565209391819399,0.15171449290376046,0.029283403335345414,0.14734883720930236,0.04701627486437613,0
